image_link,group_id,entity_name,entity_value,output,model_input
https://m.media-amazon.com/images/I/81N73b5khVL.jpg,149159,item_weight,30.0 kilogram,"GroBe Kapazitat, Tragfahigkeit bis zu 30KG
Das Material ist ca.5mm dick und die Fugen sind verstarkt, so dass
es sehr stark ist.
Tragfahigkeit bis zu 30KG, kann eine Vielzahl von Gegenstanden
30
KG
aufnehmen.","Type: item_weight | OCR: GroBe Kapazitat, Tragfahigkeit bis zu 30KG
Das Material ist ca.5mm dick und die Fugen sind verstarkt, so dass
es sehr stark ist.
Tragfahigkeit bis zu 30KG, kann eine Vielzahl von Gegenstanden
30
KG
aufnehmen. | Extracted Measurement: 30 kg"
https://m.media-amazon.com/images/I/61oMj2iXOuL.jpg,308856,item_weight,10 kilogram to 15 kilogram,"WILDFANG
XS
S
XL
1,3 cm
2 cm
2,5 cm
3 cm
3,5 cm
12 cm
13 cm
14 cm
15 cm
16 cm
<10 kg
10-15 kg
15-25 kg
25-45 kg
> 45 kg","Type: item_weight | OCR: WILDFANG
XS
S
XL
1,3 cm
2 cm
2,5 cm
3 cm
3,5 cm
12 cm
13 cm
14 cm
15 cm
16 cm
<10 kg
10-15 kg
15-25 kg
25-45 kg
> 45 kg | Extracted Measurement: 10 kg"
https://m.media-amazon.com/images/I/91LPf6OjV9L.jpg,281678,item_weight,3.53 ounce,"RICH
Helps in
ERICH
Helps in
osteoarthritis
RGAT
digestion
Reduces
inflammation
USDA
ORGANIC
Anti-bacterial
PREA
properties
ERFOOD
RICH
ORGANICS
SED
Helps in
PCOS
 SPEARMINT
GREEN TEA
0
100g
F
WEIGHT
NE","Type: item_weight | OCR: RICH
Helps in
ERICH
Helps in
osteoarthritis
RGAT
digestion
Reduces
inflammation
USDA
ORGANIC
Anti-bacterial
PREA
properties
ERFOOD
RICH
ORGANICS
SED
Helps in
PCOS
 SPEARMINT
GREEN TEA
0
100g
F
WEIGHT
NE | Extracted Measurement: 100 g"
https://m.media-amazon.com/images/I/81fOxWWWKYL.jpg,281678,item_weight,3.53 ounce,"USDA
ORGANIC
SSRICHS
PROMOTES
ORGANICS
DIGESTVE
HEALTH
PLANT BASED
ORGANIC
SUPERFOOD
SPEARMINT
GREEN TEA
HIGH IN ANTIOXIDANTS
HIGH IN VITAMIN
ANTI-BACTERIAL IN NATURE
+COMBATS DISEASES
Fe GREAT SOURCE OF IRON
NET WEIGHT100g 3.53oz","Type: item_weight | OCR: USDA
ORGANIC
SSRICHS
PROMOTES
ORGANICS
DIGESTVE
HEALTH
PLANT BASED
ORGANIC
SUPERFOOD
SPEARMINT
GREEN TEA
HIGH IN ANTIOXIDANTS
HIGH IN VITAMIN
ANTI-BACTERIAL IN NATURE
+COMBATS DISEASES
Fe GREAT SOURCE OF IRON
NET WEIGHT100g 3.53oz | Extracted Measurement: 100 g"
https://m.media-amazon.com/images/I/81dzao1Ob4L.jpg,281678,item_weight,53 ounce,"PACKAGING
 CHANGED
FOOD FORTHE MODERN LIFE
SRICH
ELPIER
ORGANICS
SRICH
ORGANICS
NTOUSI
PLANRFOSED
Issa
SPEARMINT
GREEN TEA
USDA
ORGANIC
OODFOR THE MODERN LIFE
BEFORE
SRICH
fssai
ORGANICS
SRICH
LIC. No.12721999000135
ORGANIC SPEARMINT HERBAL TEA
ORGANICS
rb keeps blood p
DIRECTION OF USE
an be made into herba
www.so
CHORGANICS.COM
IngredientsOrganic Spearmint Pure Herb
Country of Origin : Indic
PLANT BASED
Nutritional Facts
ORGANIC
SUPERFOOD
Calories
80kcal
SPEARMINT
GREEN TEA
ated fal
MANUFACTURED AND MARKETED BY:
HIGH IN VITAMIN A
Sorich Organics Pt.d
 RICH IN ANTIOXIDANTS
NET WEIGHT : 100 g (3.53 oz)
ANTI-BACTERIAL IN NATURE
MRP Rs.
Fe GREAT SOURCEOF IRON
BATCH NO. :
NET WEIGHT100g (3.53 oz)
PKD. :
USE BY :
AFTER
Note: Packaging may vary for a brief period of time.","Type: item_weight | OCR: PACKAGING
 CHANGED
FOOD FORTHE MODERN LIFE
SRICH
ELPIER
ORGANICS
SRICH
ORGANICS
NTOUSI
PLANRFOSED
Issa
SPEARMINT
GREEN TEA
USDA
ORGANIC
OODFOR THE MODERN LIFE
BEFORE
SRICH
fssai
ORGANICS
SRICH
LIC. No.12721999000135
ORGANIC SPEARMINT HERBAL TEA
ORGANICS
rb keeps blood p
DIRECTION OF USE
an be made into herba
www.so
CHORGANICS.COM
IngredientsOrganic Spearmint Pure Herb
Country of Origin : Indic
PLANT BASED
Nutritional Facts
ORGANIC
SUPERFOOD
Calories
80kcal
SPEARMINT
GREEN TEA
ated fal
MANUFACTURED AND MARKETED BY:
HIGH IN VITAMIN A
Sorich Organics Pt.d
 RICH IN ANTIOXIDANTS
NET WEIGHT : 100 g (3.53 oz)
ANTI-BACTERIAL IN NATURE
MRP Rs.
Fe GREAT SOURCEOF IRON
BATCH NO. :
NET WEIGHT100g (3.53 oz)
PKD. :
USE BY :
AFTER
Note: Packaging may vary for a brief period of time. | Extracted Measurement: 100 g"
https://m.media-amazon.com/images/I/91-iahVGEDL.jpg,281678,item_weight,100 gram,"XX X X
L.oose packaging
Impurities added
Other
Does not brew easily
brands
Added preservatiyes
Processed chemically
VS
USDA
ORGANIC
SSRICH
Air-tight packaging
ERICH
ORGANICS
Impurities free
Brews easily
SPEARMINT
GREEN TEA
Noadded preservative
HIGH IN VITAMIN
ANTI-BACTERIAL IN NATURE
Mrectly from farm
Fe GREAT SOURCE OF IRON","Type: item_weight | OCR: XX X X
L.oose packaging
Impurities added
Other
Does not brew easily
brands
Added preservatiyes
Processed chemically
VS
USDA
ORGANIC
SSRICH
Air-tight packaging
ERICH
ORGANICS
Impurities free
Brews easily
SPEARMINT
GREEN TEA
Noadded preservative
HIGH IN VITAMIN
ANTI-BACTERIAL IN NATURE
Mrectly from farm
Fe GREAT SOURCE OF IRON | Extracted Measurement: "
https://m.media-amazon.com/images/I/81S2+GnYpTL.jpg,731432,item_weight,200 gram,"FREE
Glucon-D
Regular 200g pack
Glucon-D
R
Instant Energy
Regular
Vitamin","Type: item_weight | OCR: FREE
Glucon-D
Regular 200g pack
Glucon-D
R
Instant Energy
Regular
Vitamin | Extracted Measurement: 200 g"
https://m.media-amazon.com/images/I/81e2YtCOKvL.jpg,731432,item_weight,1 kilogram,"FREE
Glucon-D
Regular 200gpack
Glucon-D
Net Weight
Instant Energy
D
Ikg
eaves you tredyour family neds the Instant Energyof Glucon-D
99.4% pure Glucose-Glucose is an instant energy source for
the body and is the only energy source for the brain.
Vitamin)
Glucon-D has Vitamin D and Calcium that provides
strength to the bones and body.
Minerals
-Glucon-D hasPhosphorus at is essential for
energy production and storage.
So experience the Instant Energyof Glucon-D with your family!
i
n%6
Offer available in specifically marked packs only
We would love to hear from you
MFD.
M.R.PRs./ (INCL.OFALLTAXES
LOTNo
(See space below/bottom of jar.)","Type: item_weight | OCR: FREE
Glucon-D
Regular 200gpack
Glucon-D
Net Weight
Instant Energy
D
Ikg
eaves you tredyour family neds the Instant Energyof Glucon-D
99.4% pure Glucose-Glucose is an instant energy source for
the body and is the only energy source for the brain.
Vitamin)
Glucon-D has Vitamin D and Calcium that provides
strength to the bones and body.
Minerals
-Glucon-D hasPhosphorus at is essential for
energy production and storage.
So experience the Instant Energyof Glucon-D with your family!
i
n%6
Offer available in specifically marked packs only
We would love to hear from you
MFD.
M.R.PRs./ (INCL.OFALLTAXES
LOTNo
(See space below/bottom of jar.) | Extracted Measurement: 200 g"
https://m.media-amazon.com/images/I/81RNsNEM1EL.jpg,731432,item_weight,200 gram,"FREE
Glucon-D
Regular 200gpack
Glucon-D
Instant Energy
NUTRITIONALVALUE*
Per 100g Per Serve (35g)
Energy Value.
360kcal
126kcal
Prot.e.
Og
Carbohydrates.
31.5g
of which sugar (sucrose)..
.
Og
Fat&All types of ftty acid.
Og
Calc.iu.
.170mg
59.5mg
Phosphorus.
.100mg
35mg
Vitamin D.
.3001.U.
1051.U.
..
*Approx.Value
R5s0i
NGREDIENTSGlcose 99.4%)Mirals CamPhsphates andVitain.
Glucose based beverage mix Proprietary Food).
Storage ConditionStore in a cooldry place away from strong odours.
BEST BEFORE 24 MONTHS FROM MANUFACTURE.
Heinz
Manufactured forHeinz ndiaPt.td.7FlorDShivsagar
Worli, Mumbai-400 018.
fssai
Lic.No.10013022001417
FSSAILIc.No.10014012000278
FSSAILic.No.10014062000273
Net Weight:
ko","Type: item_weight | OCR: FREE
Glucon-D
Regular 200gpack
Glucon-D
Instant Energy
NUTRITIONALVALUE*
Per 100g Per Serve (35g)
Energy Value.
360kcal
126kcal
Prot.e.
Og
Carbohydrates.
31.5g
of which sugar (sucrose)..
.
Og
Fat&All types of ftty acid.
Og
Calc.iu.
.170mg
59.5mg
Phosphorus.
.100mg
35mg
Vitamin D.
.3001.U.
1051.U.
..
*Approx.Value
R5s0i
NGREDIENTSGlcose 99.4%)Mirals CamPhsphates andVitain.
Glucose based beverage mix Proprietary Food).
Storage ConditionStore in a cooldry place away from strong odours.
BEST BEFORE 24 MONTHS FROM MANUFACTURE.
Heinz
Manufactured forHeinz ndiaPt.td.7FlorDShivsagar
Worli, Mumbai-400 018.
fssai
Lic.No.10013022001417
FSSAILIc.No.10014012000278
FSSAILic.No.10014062000273
Net Weight:
ko | Extracted Measurement: 200 g"
https://m.media-amazon.com/images/I/91prZeizZnL.jpg,731432,item_weight,200 gram,"FREE
Glucon-D
Regular 200gpack
Glucon-D
?
Instant Energy
Regular
Glucon-D
Instant Energy
Regular
Minerals
Vitamin
Minerals
Vitamin","Type: item_weight | OCR: FREE
Glucon-D
Regular 200gpack
Glucon-D
?
Instant Energy
Regular
Glucon-D
Instant Energy
Regular
Minerals
Vitamin
Minerals
Vitamin | Extracted Measurement: 200 g"
https://m.media-amazon.com/images/I/31EvJszFVfL.jpg,731432,item_weight,200 gram,"HEF
Glucon-
9.4in
23cm","Type: item_weight | OCR: HEF
Glucon-
9.4in
23cm | Extracted Measurement: "
https://m.media-amazon.com/images/I/61wzlucTREL.jpg,252585,item_volume,4.0 gallon,"ONE SIZE
FItS
6 ALL
STRETCHABLE AND
BLACKFABRIC BLOCKS
FORMFITTING
THE LIGHT
EXPERT-GRADE GEL
NON-TOXIC NO SMELL
FLEXIBLE COMFORTABLE FOR
COLD ORHOT THERAPY
3.1 in
5.3
5
22.2 in","Type: item_volume | OCR: ONE SIZE
FItS
6 ALL
STRETCHABLE AND
BLACKFABRIC BLOCKS
FORMFITTING
THE LIGHT
EXPERT-GRADE GEL
NON-TOXIC NO SMELL
FLEXIBLE COMFORTABLE FOR
COLD ORHOT THERAPY
3.1 in
5.3
5
22.2 in | Extracted Measurement: "
https://m.media-amazon.com/images/I/61sQ+qAKr4L.jpg,299791,item_weight,2.7 gram,"9
925 SterlingSilver
18K Gold Plated
0.28 INCH
7MM
High Polish
0.07 INCH
(1.8MM)
16+2 INCH Extend Chain
Net Weight: 2.7G
(405MM+50MM)
Manual measurement, the size may be slightly different from the physical.","Type: item_weight | OCR: 9
925 SterlingSilver
18K Gold Plated
0.28 INCH
7MM
High Polish
0.07 INCH
(1.8MM)
16+2 INCH Extend Chain
Net Weight: 2.7G
(405MM+50MM)
Manual measurement, the size may be slightly different from the physical. | Extracted Measurement: 2.7 g"
https://m.media-amazon.com/images/I/81x77l2T5NL.jpg,884560,item_weight,112 gram,"Creating a sustainablefoodfuture
for you and the planet
Visit www.knorr.com/uk.
How to use Knorr
Stock Pots:
GLUTEN
NO ADDED
AND
FREE
MSG
PRESERVATIVES
4x28g=112ge
ether: dissolve
the pot into
500ml of boiling
or: add the
water.
pot directly
to dish.
Best Before End:","Type: item_weight | OCR: Creating a sustainablefoodfuture
for you and the planet
Visit www.knorr.com/uk.
How to use Knorr
Stock Pots:
GLUTEN
NO ADDED
AND
FREE
MSG
PRESERVATIVES
4x28g=112ge
ether: dissolve
the pot into
500ml of boiling
or: add the
water.
pot directly
to dish.
Best Before End: | Extracted Measurement: 28 g"
https://m.media-amazon.com/images/I/71nywfWZUwL.jpg,179080,item_weight,4.1 kilogram,"9.1cm/3.58""
36.8cm/
14.48""
48V 13Ah
48V 17.5Ah
11.1cm/4.37""
Downtube Battery
Type
13Ah: 2500m-A-h
Battery Cell
17.5Ah: Sam-sung/L-G/Cell
3500mAh Send it randomly
Charger
48V 13Ah (2A)
Charger Output Current
48V 17.5Ah(4A)
USB port
BMS
30A
Battery Weight.
KG
4.1KG/4.4KG","Type: item_weight | OCR: 9.1cm/3.58""
36.8cm/
14.48""
48V 13Ah
48V 17.5Ah
11.1cm/4.37""
Downtube Battery
Type
13Ah: 2500m-A-h
Battery Cell
17.5Ah: Sam-sung/L-G/Cell
3500mAh Send it randomly
Charger
48V 13Ah (2A)
Charger Output Current
48V 17.5Ah(4A)
USB port
BMS
30A
Battery Weight.
KG
4.1KG/4.4KG | Extracted Measurement: 4.1 kg"
https://m.media-amazon.com/images/I/71nywfWZUwL.jpg,179080,voltage,48.0 volt,"9.1cm/3.58""
36.8cm/
14.48""
48V 13Ah
48V 17.5Ah
11.1cm/4.37""
Downtube Battery
Type
13Ah: 2500m-A-h
Battery Cell
17.5Ah: Sam-sung/L-G/Cell
3500mAh Send it randomly
Charger
48V 13Ah (2A)
Charger Output Current
48V 17.5Ah(4A)
USB port
BMS
30A
Battery Weight.
KG
4.1KG/4.4KG","Type: voltage | OCR: 9.1cm/3.58""
36.8cm/
14.48""
48V 13Ah
48V 17.5Ah
11.1cm/4.37""
Downtube Battery
Type
13Ah: 2500m-A-h
Battery Cell
17.5Ah: Sam-sung/L-G/Cell
3500mAh Send it randomly
Charger
48V 13Ah (2A)
Charger Output Current
48V 17.5Ah(4A)
USB port
BMS
30A
Battery Weight.
KG
4.1KG/4.4KG | Extracted Measurement: "
https://m.media-amazon.com/images/I/51WsuKKAVrL.jpg,866516,item_weight,158.0 gram,"Product Name
Harvest Festival Doll
Product Size
15926CM
Qty./Ctn.
96PCS
Carton Size
52x42x40CM
Material
Polyester material
Craftsmanship
Manual
Colour
BrownYellow
GreyOrange
Product Weight
158g","Type: item_weight | OCR: Product Name
Harvest Festival Doll
Product Size
15926CM
Qty./Ctn.
96PCS
Carton Size
52x42x40CM
Material
Polyester material
Craftsmanship
Manual
Colour
BrownYellow
GreyOrange
Product Weight
158g | Extracted Measurement: 158 g"
https://m.media-amazon.com/images/I/61XGDKap+JL.jpg,866516,item_weight,158.0 gram,"158g
0851","Type: item_weight | OCR: 158g
0851 | Extracted Measurement: 158 g"
https://m.media-amazon.com/images/I/715vVcWJxGL.jpg,459516,item_weight,5000 milligram,"GMP
NUVIDA
NATURAL HEALTH
CRANBERRY EXTRACT
High Strength Extract for
Natural Urinary Tract and Bladder Support
SUITABLE FOR VEGETARIANS AND VEGANS
5000mg 90Tablets
Food Supplement","Type: item_weight | OCR: GMP
NUVIDA
NATURAL HEALTH
CRANBERRY EXTRACT
High Strength Extract for
Natural Urinary Tract and Bladder Support
SUITABLE FOR VEGETARIANS AND VEGANS
5000mg 90Tablets
Food Supplement | Extracted Measurement: 5000 mg"
https://m.media-amazon.com/images/I/613v+2W4UwL.jpg,524635,item_weight,18.55 gram,"50 mI
Carvomin
R
Verdauungstropfen
18,55 g/20 ml
Flussigkeit zum Einnehmen
Wirkstoff:
Auszug aus einer Mischung
von Angelikawurzeln,
Benediktenkraut und
Pfefferminzblattern
KLONGE
PHARMA","Type: item_weight | OCR: 50 mI
Carvomin
R
Verdauungstropfen
18,55 g/20 ml
Flussigkeit zum Einnehmen
Wirkstoff:
Auszug aus einer Mischung
von Angelikawurzeln,
Benediktenkraut und
Pfefferminzblattern
KLONGE
PHARMA | Extracted Measurement: 55 g"
